date,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,vix_open,vix_high,vix_low,vix_close,vix_adj_close
2014-09-29,671.64,671.64,661.47,669.11,19.42,20.450001,19.42,19.860001,000,19.860001
2014-09-26,663.22,674.37,661.13,671.95,20.07,20.07,19.17,19.42,000,19.42
2014-09-25,673.38,673.71,663.29,663.29,19.790001,21.049999,19.73,20.07,000,20.07
2014-09-24,673.03,677.28,663.88,673.63,20.73,20.870001,19.74,19.799999,000,19.799999
2014-09-23,675.17,679.83,673.3,673.39,19.98,20.91,19.98,20.73,000,20.73
2014-09-22,684.1,684.1,673.53,675.52,19.780001,20.26,19.629999,19.98,000,19.98
2014-09-19,684.81,689.5,684.65,684.82,18.98,19.219999,18.43,18.559999,000,18.559999
2014-09-18,688.74,689.36,683.31,684.8,19.18,19.18,18.209999,18.98,000,18.98
2014-09-17,692.0,693.32,686.36,688.08,19.459999,19.469999,18.48,19.18,000,19.18
2014-09-16,682.82,695.6,682.13,691.39,20.50,20.50,18.67,18.93,000,18.93
2014-09-15,677.64,684.83,674.61,683.29,20.290001,20.540001,19.93,20.17,000,20.17
2014-09-12,687.43,687.43,676.56,678.33,20.24,20.27,19.49,19.530001,000,19.530001
2014-09-11,687.45,689.5,680.21,688.7,21.32,21.32,20.459999,20.629999,000,20.629999
2014-09-10,689.82,689.82,680.38,688.1,20.120001,21.280001,20.110001,20.49,000,20.49
2014-09-09,693.89,696.66,686.34,690.18,19.780001,19.889999,19.559999,19.68,000,19.68
2014-09-08,704.05,704.05,690.46,693.47,18.52,20.780001,18.52,20.43,000,20.43
2014-09-05,699.74,704.67,695.8,704.64,18.51,18.66,18.030001,18.52,000,18.52
2014-09-04,709.59,710.69,696.77,699.83,18.790001,18.98,18.24,18.950001,000,18.950001
2014-09-03,708.33,713.19,708.33,709.0,18.530001,18.91,17.77,18.49,000,18.49
2014-09-02,715.54,715.54,703.5,706.8,16.68,18.50,16.68,18.34,000,18.34
2014-08-29,712.75,715.89,711.16,715.72,16.389999,16.700001,16.26,16.68,000,16.68
2014-08-28,711.78,713.21,709.68,712.27,16.469999,16.780001,16.450001,16.52,000,16.52
2014-08-27,713.59,715.1,710.6,712.59,16.549999,16.60,16.209999,16.469999,000,16.469999
2014-08-26,709.84,716.87,709.84,713.29,16.60,16.860001,16.549999,16.68,000,16.68
2014-08-25,705.33,710.11,705.33,709.61,17.24,17.299999,16.77,16.92,000,16.92
2014-08-22,707.69,707.69,701.35,704.06,17.41,17.540001,16.43,16.51,000,16.51
2014-08-21,708.84,709.72,706.67,708.67,17.709999,18.01,17.049999,17.25,000,17.25
2014-08-20,706.62,709.49,703.76,708.65,19.139999,19.16,17.76,17.959999,000,17.959999
2014-08-19,702.7,708.38,702.7,707.23,19.52,19.530001,19.01,19.379999,000,19.379999
2014-08-18,701.16,703.95,699.35,702.12,18.59,20.129999,18.59,19.52,000,19.52
2014-08-15,696.76,701.38,694.91,700.15,17.860001,19.280001,17.860001,18.59,000,18.59
2014-08-14,700.84,701.68,695.57,696.58,17.709999,18.26,17.190001,17.860001,000,17.860001
2014-08-13,698.46,703.42,697.37,700.1,17.549999,18.440001,17.129999,17.190001,000,17.190001
2014-08-12,701.86,701.86,694.88,697.78,17.790001,17.91,17.51,17.549999,000,17.549999
2014-08-11,704.76,708.76,701.81,702.45,18.08,18.129999,17.35,17.540001,000,17.540001
2014-08-08,692.97,703.89,692.62,703.5,18.559999,18.92,18.43,18.879999,000,18.879999
2014-08-07,697.52,700.84,688.47,691.9,18.809999,19.040001,18.690001,18.85,000,18.85
2014-08-06,692.93,703.76,691.94,696.66,19.10,19.209999,18.76,18.809999,000,18.809999
2014-08-05,708.77,708.77,690.15,693.94,18.85,19.219999,18.309999,19.10,000,19.10
2014-08-04,698.14,710.69,695.67,709.1,20.18,20.18,18.85,18.92,000,18.92
2014-08-01,702.33,703.23,692.49,697.87,18.780001,21.07,18.780001,19.389999,000,19.389999
2014-07-31,718.58,718.58,702.86,702.87,17.530001,18.91,17.32,18.780001,000,18.780001
2014-07-30,724.73,729.69,718.01,720.33,16.790001,18.040001,15.62,17.110001,000,17.110001
2014-07-29,726.75,728.91,724.07,724.07,16.809999,16.90,16.42,16.790001,000,16.790001
2014-07-28,728.04,728.52,722.35,726.97,16.67,16.969999,16.35,16.370001,000,16.370001
2014-07-25,732.66,732.66,727.12,727.81,15.95,16.67,15.88,16.67,000,16.67
2014-07-24,732.95,736.09,731.31,733.44,16.25,16.32,15.91,15.95,000,15.95
2014-07-23,728.95,732.96,727.53,732.62,17.10,17.440001,16.700001,16.73,000,16.73
2014-07-22,724.41,730.52,724.41,728.55,16.92,17.219999,16.879999,17.10,000,17.10
2014-07-21,721.31,722.14,718.97,720.93,17.389999,17.389999,16.75,16.969999,000,16.969999
2014-07-18,720.05,723.58,718.03,721.91,17.870001,17.870001,16.969999,17.389999,000,17.389999
2014-07-17,731.19,732.38,719.42,719.87,17.120001,17.870001,16.879999,17.870001,000,17.870001
2014-07-16,721.3,731.66,721.3,731.59,17.959999,17.959999,16.75,16.879999,000,16.879999
2014-07-15,723.32,723.32,716.05,720.34,18.10,18.559999,17.809999,17.959999,000,17.959999
2014-07-14,717.96,724.31,717.96,723.51,17.719999,18.18,17.280001,18.10,000,18.10
2014-07-11,721.73,722.0,715.6,717.24,16.59,18.07,16.26,17.26,000,17.26
2014-07-10,729.34,729.34,719.41,722.76,16.360001,17.02,16.360001,16.459999,000,16.459999
2014-07-09,725.62,730.22,725.59,729.69,16.309999,16.65,16.299999,16.360001,000,16.360001
2014-07-08,725.72,726.9,723.04,725.08,16.360001,16.440001,16.200001,16.309999,000,16.309999
2014-07-07,729.33,729.33,724.71,726.23,16.200001,16.40,16.049999,16.360001,000,16.360001
2014-07-03,727.93,731.45,726.92,730.37,15.87,15.87,15.42,15.59,000,15.59
2014-07-02,728.26,729.65,725.91,727.53,16.40,16.51,15.81,15.87,000,15.87
2014-07-01,728.0,731.24,726.53,728.34,16.52,16.790001,16.23,16.24,000,16.24
2014-06-30,727.59,728.63,724.35,727.63,16.440001,17.25,16.440001,16.52,000,16.52
2014-06-27,727.26,728.05,723.59,727.52,16.969999,16.969999,16.440001,16.440001,000,16.440001
2014-06-26,727.1,728.22,721.22,727.87,17.700001,17.700001,16.790001,16.969999,000,16.969999
2014-06-25,722.35,727.66,718.7,727.3,17.93,17.950001,17.43,17.700001,000,17.700001
2014-06-24,736.84,737.04,721.38,722.5,18.049999,18.049999,17.690001,17.93,000,17.93
2014-06-23,734.51,738.71,734.51,737.09,18.76,18.76,18.02,18.049999,000,18.049999
2014-06-20,727.23,734.68,727.02,734.16,18.049999,19.23,18.049999,18.84,000,18.84
2014-06-19,722.84,727.23,721.14,727.23,17.280001,18.059999,16.82,18.049999,000,18.049999
2014-06-18,717.44,723.13,715.57,722.75,18.08,18.35,16.98,17.280001,000,17.280001
2014-06-17,718.36,718.36,713.1,717.34,19.040001,19.040001,17.17,17.40,000,17.40
2014-06-16,714.83,720.0,714.01,718.56,20.27,20.290001,19.43,19.52,000,19.52
2014-06-13,708.13,714.83,706.02,714.83,19.17,20.02,19.110001,19.469999,000,19.469999
2014-06-12,705.94,712.33,705.94,707.69,14.67,19.17,14.67,19.17,000,19.17
2014-06-11,702.17,706.5,700.22,705.42,14.92,14.95,14.67,14.67,000,14.67
2014-06-10,703.97,704.34,701.41,703.14,14.87,15.06,14.74,14.74,000,14.74
2014-06-09,703.13,707.14,702.1,703.85,14.80,14.87,14.62,14.67,000,14.67
2014-06-06,697.72,703.63,697.72,703.13,15.14,15.14,14.25,14.50,000,14.50
2014-06-05,693.29,698.11,691.49,697.36,15.38,15.44,15.07,15.14,000,15.14
2014-06-04,693.27,694.08,691.01,693.16,15.54,15.55,14.92,15.41,000,15.41
2014-06-03,691.6,694.83,690.57,694.1,15.87,15.97,15.48,15.53,000,15.53
2014-06-02,693.81,695.1,690.52,691.8,16.290001,16.290001,15.49,15.52,000,15.52
2014-05-30,693.74,693.93,690.09,693.46,16.040001,16.049999,15.61,15.61,000,15.61
2014-05-29,689.7,694.46,688.6,694.26,16.25,16.290001,15.51,15.55,000,15.55
2014-05-28,688.98,691.68,687.48,689.28,16.360001,16.620001,15.98,16.02,000,16.02
2014-05-27,688.29,690.04,686.02,688.47,16.74,16.74,16.10,16.10,000,16.10
2014-05-23,687.99,690.48,686.64,686.9,16.18,16.280001,15.67,15.89,000,15.89
2014-05-22,688.89,691.1,687.34,687.75,16.379999,16.40,15.70,16.049999,000,16.049999
2014-05-21,682.5,689.72,682.5,688.88,16.23,17.030001,16.200001,16.379999,000,16.379999
2014-05-20,682.85,684.48,680.47,681.49,15.90,16.639999,15.90,16.200001,000,16.200001
2014-05-19,680.85,684.76,680.17,683.14,15.42,16.01,15.42,15.90,000,15.90
2014-05-16,683.02,683.02,678.76,681.13,15.94,15.95,14.88,15.42,000,15.42
2014-05-15,691.55,691.55,678.53,683.03,16.719999,16.83,15.94,15.94,000,15.94
2014-05-14,691.85,694.1,691.18,692.09,16.610001,17.040001,16.35,16.719999,000,16.719999
2014-05-13,690.15,692.51,689.77,691.8,16.65,17.309999,16.65,16.860001,000,16.860001
2014-05-12,686.27,689.84,686.07,689.56,17.360001,17.360001,16.559999,16.65,000,16.65
2014-05-09,686.76,687.45,682.66,685.35,17.610001,17.620001,16.59,17.00,000,17.00
2014-05-08,695.18,695.66,685.89,686.57,17.709999,17.870001,17.290001,17.49,000,17.49
2014-05-07,691.49,696.53,689.69,695.51,18.139999,18.18,17.52,17.709999,000,17.709999
2014-05-06,689.23,693.37,688.63,690.2,18.549999,18.549999,17.879999,17.959999,000,17.959999
2014-05-05,685.25,690.46,682.54,689.2,18.73,18.809999,18.32,18.549999,000,18.549999
2014-05-02,683.84,690.68,681.98,686.03,18.379999,18.379999,17.74,17.799999,000,17.799999
